#Model files used:	unknown
#Model used:	TIEGCM
#Coordinates:	GDZ	sph
#utc_time	c1	c2	c3
#[s]	[R_E]	[R_E]	[R_E]
1679443236.463000	-77.177948	-34.847065	107.000000
1679443304.884000	-77.092346	-31.161253	107.000000
1679443366.638000	-76.931213	-27.389114	107.000000
1679443436.670000	-76.667053	-23.627308	107.000000
1679443480.509000	-76.441162	-20.899345	107.000000
1679443549.768000	-76.051331	-17.201488	107.000000
1679443597.016000	-75.694275	-14.296902	107.000000
1679443666.023000	-75.167175	-10.635910	107.000000
1679443709.972000	-74.735718	-7.939470	107.000000
1679443780.334000	-74.046570	-4.245974	107.000000
1679443840.991000	-73.293701	-0.661265	107.000000
1679443911.433000	-72.416687	2.979551	107.000000
1679443954.816000	-71.726562	5.571759	107.000000
1679444025.022000	-70.660095	9.135347	106.999992
1679444071.026000	-69.767639	11.820068	107.000000
1679444141.577000	-68.462830	15.324379	107.000000
1679444184.821000	-67.443695	17.787991	107.000000
1679444255.175000	-65.863953	21.183084	107.000000
1679444342.194000	-63.385193	25.728333	107.000000
1679444413.077000	-61.312653	28.956099	107.000000
1679444455.949000	-59.707764	31.169950	107.000000
1679444526.718000	-57.188416	34.200302	107.000000
1679444571.990000	-55.127655	36.363171	107.000000
1679444643.310000	-52.037476	39.163189	107.000000
1679444686.575000	-49.639984	41.036594	107.000000
1679444755.800000	-46.024658	43.435005	107.000000
1679444817.256000	-41.969452	45.635212	107.000000
1679444887.006000	-37.532349	47.555969	107.000000
1679444930.699000	-34.030762	48.784035	106.999992
1679445000.338000	-28.913147	50.176346	107.000000
1679445046.537000	-24.750793	51.003532	107.000000
1679445117.095000	-19.025543	51.746616	107.000008
1679445160.369000	-14.818665	52.037605	107.000000
1679445230.281000	-8.940735	52.054073	107.000000
1679445291.483000	-3.156616	51.678036	107.000000
1679445361.097000	2.456037	50.889427	107.000000
1679445404.442000	6.359925	50.087757	107.000000
1679445475.937000	11.596364	48.620842	107.000000
1679445521.754000	15.217957	47.320312	107.000000
1679445591.082000	19.577408	45.361401	107.000000
1679445634.445000	22.509888	43.782421	107.000008
1679445705.423000	26.277170	41.344460	107.000000
1679445765.332000	29.523930	38.817249	107.000000
1679445836.490000	32.554840	35.993805	106.999992
1679445879.128000	34.487209	33.944069	107.000000
1679445949.891000	36.977634	30.902708	107.000000
1679445995.569000	38.667042	28.549831	107.000000
1679446066.371000	40.700005	25.316885	107.000000
1679446109.309000	42.009552	22.975601	107.000000
1679446179.685000	43.689842	19.624344	107.000000
1679446266.988000	45.715988	14.876181	107.000000
1679446337.335000	46.987362	11.377369	107.000000
1679446380.747000	47.824089	8.827856	107.000000
1679446450.865000	48.875412	5.264012	107.000000
1679446496.931000	49.599483	2.521910	107.000000
1679446567.344000	50.458233	-1.121603	107.000000
1679446610.522000	51.018810	-3.743856	107.000000
1679446680.943000	51.705441	-7.438264	107.000000
1679446741.191000	52.297405	-11.048978	107.000000
1679446812.188000	52.825371	-14.815508	107.000000
1679446855.536000	53.152901	-17.509008	107.000000
1679446924.734000	53.528545	-21.200350	107.000000
1679446971.536000	53.773418	-24.100849	107.000000
1679447041.437000	54.008034	-27.859238	107.000000
1679447084.624000	54.134033	-30.566051	107.000000
1679447154.833000	54.226620	-34.350098	107.000000
1679447215.048000	54.227348	-38.048012	107.000000
1679447286.368000	54.105675	-41.901096	107.000000
1679447329.114000	53.960632	-44.596840	107.000000
1679447398.717000	53.634563	-48.356190	107.000000
1679447444.885000	53.265068	-51.243999	107.000000
1679447515.392000	52.584923	-55.043194	107.000000
1679447557.874000	51.941563	-57.705467	107.000000
1679447628.814000	50.736160	-61.507046	106.999992
1679447689.292000	49.067364	-65.160110	106.999992
1679447758.906000	46.694115	-68.827583	107.000000
1679447802.226000	44.301289	-71.443176	107.000000
1679447871.870000	39.482082	-74.961601	107.000000
1679447918.131000	33.821762	-77.542908	107.000000
1679447988.341000	21.668568	-80.608757	107.000000
1679448031.131000	7.482366	-82.332993	107.000000
1679448101.197000	-22.349548	-83.462219	107.000000
1679448188.850000	-61.816284	-81.639236	107.000000
1679448258.840000	-77.120789	-78.825798	107.000000
1679448301.684000	-83.755005	-76.507301	107.000000
1679448371.454000	-89.699921	-73.049469	107.000000
1679448418.100000	-92.787476	-70.283653	107.000000
1679448487.698000	-95.537506	-66.644501	107.000000
1679448531.177000	-97.025391	-63.963943	107.000000
1679448600.197000	-98.493896	-60.285858	107.000000
1679448661.285000	-99.575165	-56.568645	107.000000
1679448731.954000	-100.341949	-52.768871	107.000008
1679448774.855000	-100.764618	-50.062698	107.000000
1679448844.665000	-101.152832	-46.295319	107.000000
1679448891.344000	-101.369354	-43.377998	107.000000
1679448960.725000	-101.511902	-39.633453	107.000000
1679449005.013000	-101.565582	-36.848618	107.000000
1679449073.477000	-101.527344	-33.161980	107.000000
1679449135.253000	-101.404297	-29.380051	107.000000
1679449205.166000	-101.197632	-25.621292	107.000000
1679449249.071000	-100.996307	-22.878876	107.000000
1679449318.244000	-100.649475	-19.180862	107.000000
1679449365.434000	-100.321167	-16.275454	107.000000
1679449434.572000	-99.842560	-12.605868	107.000000
1679449478.217000	-99.446289	-9.918390	107.000000
1679449548.777000	-98.800385	-6.203733	107.000000
1679449609.226000	-98.094543	-2.610317	107.000000
1679449679.876000	-97.266968	1.056205	107.000000
1679449723.002000	-96.625305	3.654337	107.000000
1679449793.226000	-95.624329	7.239129	107.000000
1679449839.213000	-94.784912	9.937517	106.999992
1679449909.692000	-93.557007	13.459617	107.000000
1679449952.912000	-92.596741	15.949036	107.000000
1679450023.215000	-91.115448	19.372417	107.000000
1679450154.837000	-87.499664	26.180672	107.000000
1679450225.751000	-85.389313	29.390736	107.000000
1679450268.426000	-83.760071	31.589115	107.000000
1679450339.255000	-81.206573	34.601768	107.000000
1679450385.484000	-79.069214	36.797104	107.000000
1679450454.794000	-76.027679	39.488083	107.000000
1679450498.859000	-73.548828	41.374828	107.000000
1679450568.137000	-69.887268	43.747486	107.000008
1679450629.862000	-65.773621	45.913910	107.000008
1679450699.274000	-61.294434	47.799744	107.000000
